Lookup ID,Age,Gender,Marital status,City,State,Country,Email,Class of,College,Degree,Enrolled Via,Enrollment Date,Total Donation Amount,Cumulative Lifetime Donation Years,Consecutive Years of Giving,If Donated
12020025,55,Female,Married,Oak Park,Illinois,United States,Yes,1989,1KM-Gies College of Business,BS: Bachelor of Science,Back to School '22,2022-08-24 00:00:00,0,0,0,0
11412695,61,Male,Married,Champaign,Illinois,United States,Yes,1984,1KV-Liberal Arts & Sciences,,Main site,2022-12-06 00:00:00,0,0,0,0
10677047,38,Female,Married,Park Ridge,Illinois,United States,Yes,2006,1KM-Gies College of Business,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
12030487,50,Female,Single,Baltimore,Maryland,United States,Yes,2001,"1KL-Agr, Consumer, & Env Sciences",PHD: Doctor of Philosophy,No record,1900-01-01 00:00:00,0,0,0,0
11315579,61,Female,Married,Oak Park,Illinois,United States,Yes,2010,1KN-Education,EDD: Doctor of Education,Homecoming '22,2022-10-10 00:00:00,0,0,0,0
10735174,36,Male,Married,Chicago,Illinois,United States,Yes,2007,1KM-Gies College of Business,BS: Bachelor of Science,Main site,2022-02-21 00:00:00,100,1,1,1
11594802,55,Female,Unknown,Upland,California,United States,Yes,1989,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,No record,1900-01-01 00:00:00,0,0,0,0
11360811,67,Male,Married,Champaign,Illinois,United States,Yes,1976,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,No record,1900-01-01 00:00:00,0,0,0,0
10843949,45,Male,Unknown,San Jose,California,United States,Yes,2012,1KP-Grainger Engineering,MCS: Master of Computer Science,No record,1900-01-01 00:00:00,0,0,0,0
11722798,47,Female,Married,Saint Charles,Illinois,United States,Yes,2000,1KY-Applied Health Sciences,BS: Bachelor of Science,Main site,2022-02-07 00:00:00,50,1,1,1
11474868,0,Female,Unknown,Elgin,Illinois,United States,Yes,1971,1KV-Liberal Arts & Sciences,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11534459,78,Female,Married,San Luis Obispo,California,United States,Yes,1982,1KR-Fine & Applied Arts,PHD: Doctor of Philosophy,Membership Event '22,2022-07-08 00:00:00,0,0,0,0
11495070,50,Female,Single,Chicago,Illinois,United States,Yes,1994,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Main site,2022-09-11 00:00:00,0,0,0,0
10760644,35,Male,Unknown,Denver,Colorado,United States,Yes,2009,1KV-Liberal Arts & Sciences,BSLAS: Bachelor of Science Liberal Arts & Sciences,Main site,2022-05-30 00:00:00,0,0,0,0
11108858,82,Female,Widow/er,Columbia,Missouri,United States,Yes,,,,Main site,2022-03-13 00:00:00,218,4,2,1
11362066,69,Male,Single,Chicago Heights,Illinois,United States,Yes,1975,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Main site,2022-02-08 00:00:00,3381,19,16,1
12066533,86,Male,Married,Swansea,Illinois,United States,Yes,1958,1KV-Liberal Arts & Sciences,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11407930,77,Male,Married,Los Angeles,California,United States,Yes,1967,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,No record,1900-01-01 00:00:00,0,0,0,0
10607371,38,Male,Unknown,Arlington,Virginia,United States,Yes,2006,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,Main site,2022-03-17 00:00:00,253,5,1,1
11700497,41,Female,Married,Steward,Illinois,United States,Yes,2004,1KY-Applied Health Sciences,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
13568705,52,Female,Divorced,Marblehead,Massachusetts,United States,Yes,2019,1KM-Gies College of Business,MBA: Master of Business Admin,Main site,2022-05-18 00:00:00,0,0,0,0
11465266,47,Female,Married,Bethesda,Maryland,United States,Yes,1996,1KV-Liberal Arts & Sciences,BALAS: Bachelor of Arts in Liberal Arts & Sciences,No record,1900-01-01 00:00:00,0,0,0,0
10550848,83,Male,Married,Lexington,Kentucky,United States,Yes,1961,,BS: Bachelor of Science,No record,1900-01-01 00:00:00,0,0,0,0
11475951,42,Female,Married,Lockport,Illinois,United States,Yes,2002,1KR-Fine & Applied Arts,BME: Bachelor of Music Education,No record,1900-01-01 00:00:00,0,0,0,0
